pixel_x,pixel_y,x,y
649,80,47.719298245614034,45.598591549295776
627,75,45.78947368421053,46.0387323943662
610,75,44.29824561403509,46.0387323943662
599,75,43.333333333333336,46.0387323943662
539,74,38.07017543859649,46.12676056338028
661,69,48.771929824561404,46.566901408450704
604,69,43.771929824561404,46.566901408450704
593,69,42.80701754385965,46.566901408450704
649,66,47.719298245614034,46.83098591549296
564,63,40.26315789473684,47.09507042253521
546,66,38.68421052631579,46.83098591549296
579,62,41.578947368421055,47.183098591549296
628,56,45.87719298245614,47.7112676056338
570,52,40.78947368421053,48.063380281690144
661,41,48.771929824561404,49.03169014084507
650,41,47.80701754385965,49.03169014084507
621,41,45.26315789473684,49.03169014084507
576,41,41.31578947368421,49.03169014084507
